Age,DistanceFromHome,Education,EmployeeCount,Gender,JobLevel,MonthlyIncome,NumCompaniesWorked,Over18,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel_Non-Travel,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Human Resources,Department_Research & Development,Department_Sales,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single
51,6,2,1,0,1,131160,1.0,0,11,8,0,1.0,6,1,0,0,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
31,10,1,1,0,1,41890,0.0,0,23,8,1,6.0,3,5,1,4,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
32,17,4,1,1,4,193280,1.0,0,15,8,3,5.0,2,5,0,3,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False
38,2,5,1,1,3,83210,3.0,0,11,8,3,13.0,5,8,7,5,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
32,10,1,1,1,1,23420,4.0,0,12,8,2,9.0,2,6,0,4,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
46,8,3,1,0,4,40710,3.0,0,13,8,0,28.0,5,7,7,7,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
28,11,2,1,1,2,58130,2.0,0,20,8,1,5.0,2,0,0,0,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
29,18,3,1,1,2,31430,2.0,0,22,8,3,10.0,2,0,0,0,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
31,1,3,1,1,3,20440,0.0,0,21,8,0,10.0,2,9,7,8,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
25,7,4,1,0,4,134640,1.0,0,13,8,1,6.0,2,6,1,5,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
45,17,2,1,1,2,79910,0.0,0,13,8,2,21.0,2,20,4,10,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
36,28,1,1,1,1,33770,0.0,0,12,8,2,16.0,2,15,10,11,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
55,14,4,1,0,1,55380,0.0,0,17,8,0,37.0,2,36,4,13,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
47,1,1,1,1,1,57620,1.0,0,11,8,2,10.0,4,10,9,9,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
28,1,3,1,1,1,25920,1.0,0,14,8,0,5.0,2,5,0,4,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
37,1,3,1,1,2,53460,4.0,0,11,8,0,7.0,2,5,0,1,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
21,3,2,1,1,1,42130,1.0,0,12,8,3,3.0,3,3,1,0,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
37,1,3,1,1,2,41270,2.0,0,13,8,1,15.0,2,5,0,2,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
35,7,4,1,1,1,24380,7.0,0,16,8,0,10.0,5,7,6,2,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
38,8,3,1,0,1,68700,1.0,0,11,8,1,8.0,5,8,7,7,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
26,1,4,1,1,2,104470,1.0,0,18,8,0,6.0,3,6,1,4,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False
50,8,4,1,1,1,96670,3.0,0,23,8,0,28.0,2,10,1,6,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
