A,B,C
0,36,1
0,36,2
1,36,1
1,36,2
2,36,1
2,36,2
3,36,1
3,36,2
4,36,1
4,36,2
5,36,1
5,36,2
6,36,1
6,36,2
7,36,1
7,36,2
0,35,3
0,35,4
0,25,3
0,25,4
0,22,3
0,22,4
0,19,3
0,19,4
0,15,3
0,15,4
0,14,3
0,14,4
0,8,3
0,8,4
0,7,3
0,7,4
1,35,3
1,35,4
1,25,3
1,25,4
1,22,3
1,22,4
1,19,3
1,19,4
1,15,3
1,15,4
1,14,3
1,14,4
1,8,3
1,8,4
1,7,3
1,7,4
2,35,3
2,35,4
2,25,3
2,25,4
2,22,3
2,22,4
2,19,3
2,19,4
2,15,3
2,15,4
2,14,3
2,14,4
2,8,3
2,8,4
2,7,3
2,7,4
3,35,3
3,35,4
3,25,3
3,25,4
3,22,3
3,22,4
3,19,3
3,19,4
3,15,3
3,15,4
3,14,3
3,14,4
3,8,3
3,8,4
3,7,3
3,7,4
4,35,3
4,35,4
4,25,3
4,25,4
4,22,3
4,22,4
4,19,3
4,19,4
4,15,3
4,15,4
4,14,3
4,14,4
4,8,3
4,8,4
4,7,3
4,7,4
5,35,3
5,35,4
5,25,3
5,25,4
5,22,3
5,22,4
5,19,3
5,19,4
5,15,3
5,15,4
5,14,3
5,14,4
5,8,3
5,8,4
5,7,3
5,7,4
6,35,3
6,35,4
6,25,3
6,25,4
6,22,3
6,22,4
6,19,3
6,19,4
6,15,3
6,15,4
6,14,3
6,14,4
6,8,3
6,8,4
6,7,3
6,7,4
7,35,3
7,35,4
7,25,3
7,25,4
7,22,3
7,22,4
7,19,3
7,19,4
7,15,3
7,15,4
7,14,3
7,14,4
7,8,3
7,8,4
7,7,3
7,7,4
8,25,3
8,25,4
8,22,3
8,22,4
8,19,3
8,8,3
8,8,4
8,7,3
8,7,4
0,1,5
0,2,5
0,4,5
0,8,5
0,16,5
0,32,5
0,64,5
1,1,5
1,2,5
1,4,5
1,8,5
1,16,5
1,32,5
1,64,5
2,1,5
2,2,5
2,4,5
2,8,5
2,16,5
2,32,5
2,64,5
3,1,5
3,2,5
3,4,5
3,8,5
3,16,5
3,32,5
3,64,5
4,1,5
4,2,5
4,4,5
4,8,5
4,16,5
4,32,5
4,64,5
5,1,5
5,2,5
5,4,5
5,8,5
5,16,5
5,64,5
6,1,5
6,2,5
6,4,5
6,8,5
6,64,5
7,1,5
7,2,5
7,4,5
7,8,5
8,1,5
8,2,5
8,4,5
