Spout_wait,Spliters,Counters
1,1,1
1,1,2
1,1,3
1,1,4
1,1,5
1,1,6
1,1,7
1,1,8
1,1,9
1,1,10
1,1,11
1,1,12
1,1,13
1,1,14
1,1,15
1,1,16
1,1,17
1,1,18
1,2,1
1,2,2
1,2,3
1,2,4
1,2,5
1,2,6
1,2,7
1,2,8
1,2,9
1,2,10
1,2,11
1,2,12
1,2,13
1,2,14
1,2,15
1,2,16
1,2,17
1,2,18
1,3,1
1,3,2
1,3,3
1,3,4
1,3,5
1,3,6
1,3,7
1,3,8
1,3,9
1,3,10
1,3,11
1,3,12
1,3,13
1,3,14
1,3,15
1,3,16
1,3,17
1,3,18
1,4,1
1,4,2
1,4,3
1,4,4
1,4,5
1,4,6
1,4,7
1,4,8
1,4,9
1,4,10
1,4,11
1,4,12
1,4,13
1,4,14
1,4,15
1,4,16
1,4,17
1,4,18
1,5,1
1,5,2
1,5,3
1,5,4
1,5,5
1,5,6
1,5,7
1,5,8
1,5,9
1,5,10
1,5,11
1,5,12
1,5,13
1,5,14
1,5,15
1,5,16
1,5,17
1,5,18
1,6,1
1,6,2
1,6,3
1,6,4
1,6,5
1,6,6
1,6,7
1,6,8
1,6,9
1,6,10
1,6,11
1,6,12
1,6,13
1,6,14
1,6,15
1,6,16
1,6,17
1,6,18
2,1,1
2,1,2
2,1,3
2,1,4
2,1,5
2,1,6
2,1,7
2,1,8
2,1,9
2,1,10
2,1,11
2,1,12
2,1,13
2,1,14
2,1,15
2,1,16
2,1,17
2,1,18
2,2,1
2,2,2
2,2,3
2,2,4
2,2,5
2,2,6
2,2,7
2,2,8
2,2,9
2,2,10
2,2,11
2,2,12
2,2,13
2,2,14
2,2,15
2,2,16
2,2,17
2,2,18
2,3,1
2,3,2
2,3,3
2,3,4
2,3,5
2,3,6
2,3,7
2,3,8
2,3,9
2,3,10
2,3,11
2,3,12
2,3,13
2,3,14
2,3,15
2,3,16
2,3,17
2,3,18
2,4,1
2,4,2
2,4,3
2,4,4
2,4,5
2,4,6
2,4,7
2,4,8
2,4,9
2,4,10
2,4,11
2,4,12
2,4,13
2,4,14
2,4,15
2,4,16
2,4,17
2,4,18
2,5,1
2,5,2
2,5,3
2,5,4
2,5,5
2,5,6
2,5,7
2,5,8
2,5,9
2,5,10
2,5,11
2,5,12
2,5,13
2,5,14
2,5,15
2,5,16
2,5,17
2,5,18
2,6,1
2,6,2
2,6,3
2,6,4
2,6,5
2,6,6
2,6,7
2,6,8
2,6,9
2,6,10
2,6,11
2,6,12
2,6,13
2,6,14
2,6,15
2,6,16
2,6,17
2,6,18
3,1,1
3,1,2
3,1,3
3,1,4
3,1,5
3,1,6
3,1,7
3,1,8
3,1,9
3,1,10
3,1,11
3,1,12
3,1,13
3,1,14
3,1,15
3,1,16
3,1,17
3,1,18
3,2,1
3,2,2
3,2,3
3,2,4
3,2,5
3,2,6
3,2,7
3,2,8
3,2,9
3,2,10
3,2,11
3,2,12
3,2,13
3,2,14
3,2,15
3,2,16
3,2,17
3,2,18
3,3,1
3,3,2
3,3,3
3,3,4
3,3,5
3,3,6
3,3,7
3,3,8
3,3,9
3,3,10
3,3,11
3,3,12
3,3,13
3,3,14
3,3,15
3,3,16
3,3,17
3,3,18
3,4,1
3,4,2
3,4,3
3,4,4
3,4,5
3,4,6
3,4,7
3,4,8
3,4,9
3,4,10
3,4,11
3,4,12
3,4,13
3,4,14
3,4,15
3,4,16
3,4,17
3,4,18
3,5,1
3,5,2
3,5,3
3,5,4
3,5,5
3,5,6
3,5,7
3,5,8
3,5,9
3,5,10
3,5,11
3,5,12
3,5,13
3,5,14
3,5,15
3,5,16
3,5,17
3,5,18
3,6,1
3,6,2
3,6,3
3,6,4
3,6,5
3,6,6
3,6,7
3,6,8
3,6,9
3,6,10
3,6,11
3,6,12
3,6,13
3,6,14
3,6,15
3,6,16
3,6,17
3,6,18
4,1,1
4,1,2
4,1,3
4,1,4
4,1,5
4,1,6
4,1,7
4,1,8
4,1,9
4,1,10
4,1,11
4,1,12
4,1,13
4,1,14
4,1,15
4,1,16
4,1,17
4,1,18
4,2,1
4,2,2
4,2,3
4,2,4
4,2,5
4,2,6
4,2,7
4,2,8
4,2,9
4,2,10
4,2,11
4,2,12
4,2,13
4,2,14
4,2,15
4,2,16
4,2,17
4,2,18
4,3,1
4,3,2
4,3,3
4,3,4
4,3,5
4,3,6
4,3,7
4,3,8
4,3,9
4,3,10
4,3,11
4,3,12
4,3,13
4,3,14
4,3,15
4,3,16
4,3,17
4,3,18
4,4,1
4,4,2
4,4,3
4,4,4
4,4,5
4,4,6
4,4,7
4,4,8
4,4,9
4,4,10
4,4,11
4,4,12
4,4,13
4,4,14
4,4,15
4,4,16
4,4,17
4,4,18
4,5,1
4,5,2
4,5,3
4,5,4
4,5,5
4,5,6
4,5,7
4,5,8
4,5,9
4,5,10
4,5,11
4,5,12
4,5,13
4,5,14
4,5,15
4,5,16
4,5,17
4,5,18
4,6,1
4,6,2
4,6,3
4,6,4
4,6,5
4,6,6
4,6,7
4,6,8
4,6,9
4,6,10
4,6,11
4,6,12
4,6,13
4,6,14
4,6,15
4,6,16
4,6,17
4,6,18
5,1,1
5,1,2
5,1,3
5,1,4
5,1,5
5,1,6
5,1,7
5,1,8
5,1,9
5,1,10
5,1,11
5,1,12
5,1,13
5,1,14
5,1,15
5,1,16
5,1,17
5,1,18
5,2,1
5,2,2
5,2,3
5,2,4
5,2,5
5,2,6
5,2,7
5,2,8
5,2,9
5,2,10
5,2,11
5,2,12
5,2,13
5,2,14
5,2,15
5,2,16
5,2,17
5,2,18
5,3,1
5,3,2
5,3,3
5,3,4
5,3,5
5,3,6
5,3,7
5,3,8
5,3,9
5,3,10
5,3,11
5,3,12
5,3,13
5,3,14
5,3,15
5,3,16
5,3,17
5,3,18
5,4,1
5,4,2
5,4,3
5,4,4
5,4,5
5,4,6
5,4,7
5,4,8
5,4,9
5,4,10
5,4,11
5,4,12
5,4,13
5,4,14
5,4,15
5,4,16
5,4,17
5,4,18
5,5,1
5,5,2
5,5,3
5,5,4
5,5,5
5,5,6
5,5,7
5,5,8
5,5,9
5,5,10
5,5,11
5,5,12
5,5,13
5,5,14
5,5,15
5,5,16
5,5,17
5,5,18
5,6,1
5,6,2
5,6,3
5,6,4
5,6,5
5,6,6
5,6,7
5,6,8
5,6,9
5,6,10
5,6,11
5,6,12
5,6,13
5,6,14
5,6,15
5,6,16
5,6,17
5,6,18
6,1,1
6,1,2
6,1,3
6,1,4
6,1,5
6,1,6
6,1,7
6,1,8
6,1,9
6,1,10
6,1,11
6,1,12
6,1,13
6,1,14
6,1,15
6,1,16
6,1,17
6,1,18
6,2,1
6,2,2
6,2,3
6,2,4
6,2,5
6,2,6
6,2,7
6,2,8
6,2,9
6,2,10
6,2,11
6,2,12
6,2,13
6,2,14
6,2,15
6,2,16
6,2,17
6,2,18
6,3,1
6,3,2
6,3,3
6,3,4
6,3,5
6,3,6
6,3,7
6,3,8
6,3,9
6,3,10
6,3,11
6,3,12
6,3,13
6,3,14
6,3,15
6,3,16
6,3,17
6,3,18
6,4,1
6,4,2
6,4,3
6,4,4
6,4,5
6,4,6
6,4,7
6,4,8
6,4,9
6,4,10
6,4,11
6,4,12
6,4,13
6,4,14
6,4,15
6,4,16
6,4,17
6,4,18
6,5,1
6,5,2
6,5,3
6,5,4
6,5,5
6,5,6
6,5,7
6,5,8
6,5,9
6,5,10
6,5,11
6,5,12
6,5,13
6,5,14
6,5,15
6,5,16
6,5,17
6,5,18
6,6,1
6,6,2
6,6,3
6,6,4
6,6,5
6,6,6
6,6,7
6,6,8
6,6,9
6,6,10
6,6,11
6,6,12
6,6,13
6,6,14
6,6,15
6,6,16
6,6,17
6,6,18
7,1,1
7,1,2
7,1,3
7,1,4
7,1,5
7,1,6
7,1,7
7,1,8
7,1,9
7,1,10
7,1,11
7,1,12
7,1,13
7,1,14
7,1,15
7,1,16
7,1,17
7,1,18
7,2,1
7,2,2
7,2,3
7,2,4
7,2,5
7,2,6
7,2,7
7,2,8
7,2,9
7,2,10
7,2,11
7,2,12
7,2,13
7,2,14
7,2,15
7,2,16
7,2,17
7,2,18
7,3,1
7,3,2
7,3,3
7,3,4
7,3,5
7,3,6
7,3,7
7,3,8
7,3,9
7,3,10
7,3,11
7,3,12
7,3,13
7,3,14
7,3,15
7,3,16
7,3,17
7,3,18
7,4,1
7,4,2
7,4,3
7,4,4
7,4,5
7,4,6
7,4,7
7,4,8
7,4,9
7,4,10
7,4,11
7,4,12
7,4,13
7,4,14
7,4,15
7,4,16
7,4,17
7,4,18
7,5,1
7,5,2
7,5,3
7,5,4
7,5,5
7,5,6
7,5,7
7,5,8
7,5,9
7,5,10
7,5,11
7,5,12
7,5,13
7,5,14
7,5,15
7,5,16
7,5,17
7,5,18
7,6,1
7,6,2
7,6,3
7,6,4
7,6,5
7,6,6
7,6,7
7,6,8
7,6,9
7,6,10
7,6,11
7,6,12
7,6,13
7,6,14
7,6,15
7,6,16
7,6,17
7,6,18
8,1,1
8,1,2
8,1,3
8,1,4
8,1,5
8,1,6
8,1,7
8,1,8
8,1,9
8,1,10
8,1,11
8,1,12
8,1,13
8,1,14
8,1,15
8,1,16
8,1,17
8,1,18
8,2,1
8,2,2
8,2,3
8,2,4
8,2,5
8,2,6
8,2,7
8,2,8
8,2,9
8,2,10
8,2,11
8,2,12
8,2,13
8,2,14
8,2,15
8,2,16
8,2,17
8,2,18
8,3,1
8,3,2
8,3,3
8,3,4
8,3,5
8,3,6
8,3,7
8,3,8
8,3,9
8,3,10
8,3,11
8,3,12
8,3,13
8,3,14
8,3,15
8,3,16
8,3,17
8,3,18
8,4,1
8,4,2
8,4,3
8,4,4
8,4,5
8,4,6
8,4,7
8,4,8
8,4,9
8,4,10
8,4,11
8,4,12
8,4,13
8,4,14
8,4,15
8,4,16
8,4,17
8,4,18
8,5,1
8,5,2
8,5,3
8,5,4
8,5,5
8,5,6
8,5,7
8,5,8
8,5,9
8,5,10
8,5,11
8,5,12
8,5,13
8,5,14
8,5,15
8,5,16
8,5,17
8,5,18
8,6,1
8,6,2
8,6,3
8,6,4
8,6,5
8,6,6
8,6,7
8,6,8
8,6,9
8,6,10
8,6,11
8,6,12
8,6,13
8,6,14
8,6,15
8,6,16
8,6,17
8,6,18
9,1,1
9,1,2
9,1,3
9,1,4
9,1,5
9,1,6
9,1,7
9,1,8
9,1,9
9,1,10
9,1,11
9,1,12
9,1,13
9,1,14
9,1,15
9,1,16
9,1,17
9,1,18
9,2,1
9,2,2
9,2,3
9,2,4
9,2,5
9,2,6
9,2,7
9,2,8
9,2,9
9,2,10
9,2,11
9,2,12
9,2,13
9,2,14
9,2,15
9,2,16
9,2,17
9,2,18
9,3,1
9,3,2
9,3,3
9,3,4
9,3,5
9,3,6
9,3,7
9,3,8
9,3,9
9,3,10
9,3,11
9,3,12
9,3,13
9,3,14
9,3,15
9,3,16
9,3,17
9,3,18
9,4,1
9,4,2
9,4,3
9,4,4
9,4,5
9,4,6
9,4,7
9,4,8
9,4,9
9,4,10
9,4,11
9,4,12
9,4,13
9,4,14
9,4,15
9,4,16
9,4,17
9,4,18
9,5,1
9,5,2
9,5,3
9,5,4
9,5,5
9,5,6
9,5,7
9,5,8
9,5,9
9,5,10
9,5,11
9,5,12
9,5,13
9,5,14
9,5,15
9,5,16
9,5,17
9,5,18
9,6,1
9,6,2
9,6,3
9,6,4
9,6,5
9,6,6
9,6,7
9,6,8
9,6,9
9,6,10
9,6,11
9,6,12
9,6,13
9,6,14
9,6,15
9,6,16
9,6,17
9,6,18
10,1,1
10,1,2
10,1,3
10,1,4
10,1,5
10,1,6
10,1,7
10,1,8
10,1,9
10,1,10
10,1,11
10,1,12
10,1,13
10,1,14
10,1,15
10,1,16
10,1,17
10,1,18
10,2,1
10,2,2
10,2,3
10,2,4
10,2,5
10,2,6
10,2,7
10,2,8
10,2,9
10,2,10
10,2,11
10,2,12
10,2,13
10,2,14
10,2,15
10,2,16
10,2,17
10,2,18
10,3,1
10,3,2
10,3,3
10,3,4
10,3,5
10,3,6
10,3,7
10,3,8
10,3,9
10,3,10
10,3,11
10,3,12
10,3,13
10,3,14
10,3,15
10,3,16
10,3,17
10,3,18
10,4,1
10,4,2
10,4,3
10,4,4
10,4,5
10,4,6
10,4,7
10,4,8
10,4,9
10,4,10
10,4,11
10,4,12
10,4,13
10,4,14
10,4,15
10,4,16
10,4,17
10,4,18
10,5,1
10,5,2
10,5,3
10,5,4
10,5,5
10,5,6
10,5,7
10,5,8
10,5,9
10,5,10
10,5,11
10,5,12
10,5,13
10,5,14
10,5,15
10,5,16
10,5,17
10,5,18
10,6,1
10,6,2
10,6,3
10,6,4
10,6,5
10,6,6
10,6,7
10,6,8
10,6,9
10,6,10
10,6,11
10,6,12
10,6,13
10,6,14
10,6,15
10,6,16
10,6,17
10,6,18
100,1,1
100,1,2
100,1,3
100,1,4
100,1,5
100,1,6
100,1,7
100,1,8
100,1,9
100,1,10
100,1,11
100,1,12
100,1,13
100,1,14
100,1,15
100,1,16
100,1,17
100,1,18
100,2,1
100,2,2
100,2,3
100,2,4
100,2,5
100,2,6
100,2,7
100,2,8
100,2,9
100,2,10
100,2,11
100,2,12
100,2,13
100,2,14
100,2,15
100,2,16
100,2,17
100,2,18
100,3,1
100,3,2
100,3,3
100,3,4
100,3,5
100,3,6
100,3,7
100,3,8
100,3,9
100,3,10
100,3,11
100,3,12
100,3,13
100,3,14
100,3,15
100,3,16
100,3,17
100,3,18
100,4,1
100,4,2
100,4,3
100,4,4
100,4,5
100,4,6
100,4,7
100,4,8
100,4,9
100,4,10
100,4,11
100,4,12
100,4,13
100,4,14
100,4,15
100,4,16
100,4,17
100,4,18
100,5,1
100,5,2
100,5,3
100,5,4
100,5,5
100,5,6
100,5,7
100,5,8
100,5,9
100,5,10
100,5,11
100,5,12
100,5,13
100,5,14
100,5,15
100,5,16
100,5,17
100,5,18
100,6,1
100,6,2
100,6,3
100,6,4
100,6,5
100,6,6
100,6,7
100,6,8
100,6,9
100,6,10
100,6,11
100,6,12
100,6,13
100,6,14
100,6,15
100,6,16
100,6,17
100,6,18
1000,1,1
1000,1,2
1000,1,3
1000,1,4
1000,1,5
1000,1,6
1000,1,7
1000,1,8
1000,1,9
1000,1,10
1000,1,11
1000,1,12
1000,1,13
1000,1,14
1000,1,15
1000,1,16
1000,1,17
1000,1,18
1000,2,1
1000,2,2
1000,2,3
1000,2,4
1000,2,5
1000,2,6
1000,2,7
1000,2,8
1000,2,9
1000,2,10
1000,2,11
1000,2,12
1000,2,13
1000,2,14
1000,2,15
1000,2,16
1000,2,17
1000,2,18
1000,3,1
1000,3,2
1000,3,3
1000,3,4
1000,3,5
1000,3,6
1000,3,7
1000,3,8
1000,3,9
1000,3,10
1000,3,11
1000,3,12
1000,3,13
1000,3,14
1000,3,15
1000,3,16
1000,3,17
1000,3,18
1000,4,1
1000,4,2
1000,4,3
1000,4,4
1000,4,5
1000,4,6
1000,4,7
1000,4,8
1000,4,9
1000,4,10
1000,4,11
1000,4,12
1000,4,13
1000,4,14
1000,4,15
1000,4,16
1000,4,17
1000,4,18
1000,5,1
1000,5,2
1000,5,3
1000,5,4
1000,5,5
1000,5,6
1000,5,7
1000,5,8
1000,5,9
1000,5,10
1000,5,11
1000,5,12
1000,5,13
1000,5,14
1000,5,15
1000,5,16
1000,5,17
1000,5,18
1000,6,1
1000,6,2
1000,6,3
1000,6,4
1000,6,5
1000,6,6
1000,6,7
1000,6,8
1000,6,9
1000,6,10
1000,6,11
1000,6,12
1000,6,13
1000,6,14
1000,6,15
1000,6,16
1000,6,17
1000,6,18
10000,1,1
10000,1,2
10000,1,3
10000,1,4
10000,1,5
10000,1,6
10000,1,7
10000,1,8
10000,1,9
10000,1,10
10000,1,11
10000,1,12
10000,1,13
10000,1,14
10000,1,15
10000,1,16
10000,1,17
10000,1,18
10000,2,1
10000,2,2
10000,2,3
10000,2,4
10000,2,5
10000,2,6
10000,2,7
10000,2,8
